run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.train.ce,train.train.kl,train.lambda_kl,train.teacher_format_constraint,train.grad_norm,train.lr,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,0,task1549_wiqa_answer_generation_missing_step,25,0.3229980786889792,0.272841796875,0.16718760132789612,0.3,True,4.333901973543838,0.00019999999999999998,default,0.6,0.6,0.6,0.6,0.0,0.0,1,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8519842099789745,0.0,0.6,0.6,0.6,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,1,task766_craigslist_bargains_classification,25,0.27126383263617754,0.2070649719238281,0.2139961937069893,0.3,True,8.992576937128263,0.00019999999999999998,default,0.6,0.4,0.6,0.6499999999999999,0.39999999999999997,0.0,2,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7519842099789746,0.0,0.4,0.6499999999999999,0.65,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,2,task1714_convai3_sentence_generation,25,2.757589411735535,2.239375,1.7273813104629516,0.3,True,9.79455954402754,0.00019999999999999998,default,0.0,0.06666666666666667,0.1,0.3,0.5,0.24999999999999997,3,0.4041581076875195,0.4376739001739003,0.4000311235605354,0.48416677012027887,0.0,0.06666666666666667,0.3,0.3,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,3,task611_mutual_multi_turn_dialogue,25,1.079683701992035,0.685859375,1.312747688293457,0.3,True,12.388217138667104,0.00019999999999999998,default,0.7,0.175,0.7,0.35,0.39999999999999997,0.2333333333333333,4,0.42323589771530284,0.45346910034410043,0.4218073262867314,0.5444045898957924,0.0,0.175,0.35,0.35,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,4,task927_yelp_negative_to_positive_style_transfer,100,3.287185308933258,2.817890625,1.5643155628442764,0.3,True,6.405924121534861,0.0001999999999999999,default,0.0,0.13999999999999999,0.0,0.25999999999999995,0.3,0.19999999999999998,5,0.300227921898251,0.31146208468818753,0.2983019959723251,0.3668380835245365,0.0,0.13999999999999999,0.25999999999999995,0.1625,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,5,task1500_dstc3_classification,25,0.32903417766094206,0.20174560546875,0.4242952209711075,0.3,True,6.523943142402377,0.00019999999999999998,default,0.7,0.2333333333333333,0.7,0.3499999999999999,0.24,0.13999999999999999,6,0.3375527535552213,0.3385917214593685,0.33584081939884264,0.4044543144529636,0.0,0.2333333333333333,0.3499999999999999,0.23333333333333334,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,6,task459_matres_static_classification,25,0.3866278028488159,0.32921875,0.19136350408196448,0.3,True,2.557522844430024,0.00019999999999999998,default,0.8,0.3714285714285714,0.8,0.4428571428571428,0.18333333333333335,0.13333333333333333,7,0.4278507533559155,0.42784366042454275,0.42631001261517476,0.48667217884897285,0.0,0.3714285714285714,0.4428571428571428,0.31,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,7,task379_agnews_topic_classification,25,0.3011012213677168,0.2356866455078125,0.2180485777929425,0.3,True,6.329328836461433,0.00019999999999999998,default,0.5,0.425,0.5,0.4875,0.12857142857142856,0.08571428571428572,8,0.45715146539124435,0.4565400797954274,0.45575079199057095,0.5180711270123263,0.0,0.425,0.4875,0.35454545454545455,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,8,task1590_diplomacy_text_generation,25,3.780366144180298,3.244375,1.7866370534896852,0.3,True,5.076576329345255,0.00019999999999999998,default,0.0,0.3888888888888889,0.0,0.43333333333333335,0.09999999999999999,0.07499999999999998,9,0.44254552966474675,0.4413500089235384,0.43980583400780815,0.48987775880583,0.0,0.3888888888888889,0.43333333333333335,0.325,0,0.0,0.0,0.0,0.0,default,default
20260826_000404_v1_gold_opsd_instrdialogpp,baseline,gold_opsd,9,task347_hybridqa_incorrect_answer_generation,25,2.29172563791275,1.67421875,2.058356313705444,0.3,True,10.478391934993533,0.00019999999999999998,default,0.1,0.29000000000000004,0.1,0.33,0.18888888888888888,0.15555555555555556,10,0.35386850983333235,0.34813034085598993,0.35228884733059296,0.46172973686128693,0.0,0.29000000000000004,0.33,0.25384615384615383,0,0.0,0.0,0.0,0.0,default,default
