run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.sft_steps,train.opsd_steps,train.sft_blocks_completed,train.opsd_blocks_completed,train.mean_batch_acc,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.seg_k,train.teacher_adapter,train.replay_ratio,train.replay_buffer_size,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,hook.teacher_adapter,hook.seg_k,hook.replay_buffer_size,active_adapter
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,0,task1549_wiqa_answer_generation_missing_step,50,25,25,1,1,0.44,0.1512343725329265,2.2359622347675328,0.0002,5.98,25,teacher,0.2,50,default,0.5,0.5,0.5,0.5,0.0,0.0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8149802624737182,0.0,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,1,task766_craigslist_bargains_classification,62,37,25,1,1,0.8918918918918919,0.09344182013615689,3.854372834010732,0.00020000000000000012,2.96,25,teacher,0.2,100,default,0.8,0.6000000000000001,0.8,0.6000000000000001,0.09999999999999998,0.09999999999999998,2,0.8,0.8,0.8,0.838988157484231,0.0,0.6000000000000001,0.6000000000000001,0.6,0,0.0,0.0,0.0,0.0,default,teacher,25,50,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,2,task1714_convai3_sentence_generation,62,37,25,1,1,0.14864864864864866,1.1063062088984636,4.983498984199082,0.00020000000000000012,12.34,25,teacher,0.2,150,default,0.0,0.4000000000000001,0.1,0.4333333333333334,0.04999999999999999,0.04999999999999999,3,0.6384473674473674,0.671797184297184,0.6384473674473674,0.6230536553864481,0.0,0.4000000000000001,0.4333333333333334,0.43333333333333335,0,0.0,0.0,0.0,0.0,default,teacher,25,100,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,3,task611_mutual_multi_turn_dialogue,62,37,25,1,1,0.6756756756756757,0.3051269534494608,4.963765199728981,0.00020000000000000012,2.72,25,teacher,0.2,200,default,0.6,0.5,0.6,0.525,0.0,0.0,4,0.6477902652902652,0.6695910339660338,0.6477902652902652,0.6855271051128115,0.0,0.5,0.525,0.525,0,0.0,0.0,0.0,0.0,default,teacher,25,150,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,4,task927_yelp_negative_to_positive_style_transfer,250,125,125,5,5,0.14,1.2871004003891722,3.0178344475164884,0.00019999999999999922,11.308,25,teacher,0.2,400,default,0.0,0.38,0.0,0.4,0.04999999999999999,0.04999999999999999,5,0.3915109741763082,0.40259303706914,0.38758504825038226,0.42682164424835056,0.0,0.38,0.4,0.25,0,0.0,0.0,0.0,0.0,default,teacher,25,200,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,5,task1500_dstc3_classification,62,37,25,1,1,0.7972972972972973,0.39637824082221357,3.051167141468763,0.00020000000000000012,3.44,25,teacher,0.2,450,default,1.0,0.45,1.0,0.46666666666666673,0.08,0.08,6,0.43844961732837734,0.44754892166656873,0.43586851898865836,0.474369837941819,0.0,0.45,0.46666666666666673,0.3111111111111111,0,0.0,0.0,0.0,0.0,default,teacher,25,400,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,6,task459_matres_static_classification,62,37,25,1,1,0.6216216216216216,0.4398419220740306,5.114049220453267,0.00020000000000000012,3.2,25,teacher,0.2,500,default,0.8,0.5,0.8,0.5142857142857142,0.06666666666666665,0.06666666666666665,7,0.47313016034434296,0.4813732835791658,0.47129682701100967,0.5102514877702616,0.0,0.5,0.5142857142857142,0.36,0,0.0,0.0,0.0,0.0,default,teacher,25,450,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,7,task379_agnews_topic_classification,62,37,25,1,1,0.6756756756756757,0.4076292802421977,3.141128979433184,0.00020000000000000012,3.22,25,teacher,0.2,550,default,0.9,0.6000000000000001,0.9,0.6125,0.028571428571428564,0.028571428571428564,8,0.5507857613784813,0.5535080575989667,0.5483229514611261,0.5753326082026373,0.0,0.6000000000000001,0.6125,0.44545454545454544,0,0.0,0.0,0.0,0.0,default,teacher,25,500,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,8,task1590_diplomacy_text_generation,62,37,25,1,1,0.10810810810810811,1.7188773814348444,3.0510438963288924,0.00020000000000000012,21.1,25,teacher,0.2,600,default,0.0,0.4555555555555555,0.0,0.4666666666666667,0.1125,0.1125,9,0.442802404579685,0.4456176095146683,0.44052939672334385,0.4897923582532513,0.0,0.4555555555555555,0.4666666666666667,0.35,0,0.0,0.0,0.0,0.0,default,teacher,25,550,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,9,task347_hybridqa_incorrect_answer_generation,62,37,25,1,1,0.12162162162162163,1.0627719617538876,6.226996309513153,0.00020000000000000012,4.14,25,teacher,0.2,650,default,0.1,0.41999999999999993,0.1,0.43,0.10000000000000002,0.10000000000000002,10,0.42937977645194975,0.43106561425000345,0.4258673558390793,0.5102864606730241,0.0,0.41999999999999993,0.43,0.33076923076923076,0,0.0,0.0,0.0,0.0,default,teacher,25,600,default
v1_seg_opsd_replay_instrdialogpp_seed123_rerun,baseline,seg_opsd_replay,10,task639_multi_woz_user_utterance_generation,62,37,25,1,1,0.04054054054054054,1.593645867951695,3.2037892501259777,0.00020000000000000012,9.88,25,teacher,0.2,700,default,0.0,0.36363636363636365,0.0,0.3727272727272727,0.11000000000000001,0.11000000000000001,11,0.3729866825366709,0.3759358760986913,0.3691825999561041,0.4604300625757578,0.0,0.36363636363636365,0.3727272727272727,0.29285714285714287,0,0.0,0.0,0.0,0.0,default,teacher,25,650,default
