run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.divergence,train.beta,train.teacher_format_constraint,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,0,task1590_diplomacy_text_generation,25,0.09905681908130645,0.4590780944378226,0.00019999999999999998,26.94,jsd,0.5,True,default,0.0,0.0,0.0,0.0,0.0,0.0,1,0.08526447590315782,0.07446085046704243,0.06335564399432592,0.04339335576574225,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,1,task1713_convai3_sentence_generation,25,0.10578569829463959,0.5426381988244445,0.00019999999999999998,9.26,jsd,0.5,True,default,0.0,0.0,0.0,0.0,0.0,0.0,2,0.27300786464125604,0.24182054873231343,0.26552070981351933,0.17739240768046413,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,2,task565_circa_answer_generation,46,0.12648760681243046,0.6757596968815089,0.00019999999999999996,7.087912087912088,jsd,0.5,True,default,0.0,0.0,0.0,0.0,0.0,0.0,3,0.16631775640872645,0.1901235985569719,0.16451703612061122,0.16238405277099147,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,3,task1730_personachat_choose_next,25,0.02805552238598466,0.4386668146283332,0.00019999999999999998,14.0,jsd,0.5,True,default,0.5,0.125,0.5,0.125,0.0,0.0,4,0.21163146368736363,0.2546391665508001,0.2071227374465733,0.19215526600801056,0.0,0.125,0.125,0.0847457627118644,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,4,task573_air_dialogue_classification,25,0.07190314433537423,0.303731995589504,0.00019999999999999998,2.3,jsd,0.5,True,default,0.6,0.22000000000000003,0.6,0.22000000000000003,0.0,0.0,5,0.28425468657363506,0.31008443784221135,0.27872644191495566,0.2867013354433453,0.0,0.22000000000000003,0.22000000000000003,0.15942028985507245,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,5,task294_storycommonsense_motiv_text_generation,36,0.15468399537106356,0.7962179910557182,0.00019999999999999987,8.338028169014084,jsd,0.5,True,default,0.0,0.19999999999999998,0.08333333333333333,0.21388888888888888,0.0,0.0,6,0.26435072041795005,0.27631791609546447,0.26033693476673747,0.31721790233608466,0.0,0.19999999999999998,0.21388888888888888,0.16049382716049382,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,6,task1500_dstc3_classification,25,0.06192191667854786,0.7444918134742717,0.00019999999999999998,20.02,jsd,0.5,True,default,0.0,0.1476190476190476,0.4,0.3261904761904762,0.09999999999999999,0.0,7,0.29689840107786397,0.4685601394375592,0.29351266497090167,0.3048220764838166,0.0,0.1476190476190476,0.3261904761904762,0.26373626373626374,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,7,task1603_smcalflow_sentence_generation,25,0.1112129969894886,0.5551997820569361,0.00019999999999999998,16.12,jsd,0.5,True,default,0.0,0.2229166666666667,0.0,0.29791666666666666,0.028571428571428564,0.0,8,0.331971213804415,0.4169683643678218,0.328906374363941,0.3478902416836575,0.0,0.2229166666666667,0.29791666666666666,0.24752475247524752,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,8,task576_curiosity_dialogs_answer_generation,25,0.02247850326821208,0.26692788072467705,0.00019999999999999998,34.7,jsd,0.5,True,default,0.3,0.2537037037037037,0.3,0.32037037037037036,0.012500000000000011,0.012500000000000011,9,0.3842874054763228,0.45691419213865037,0.3820808212227587,0.39308252047672465,0.0,0.2537037037037037,0.32037037037037036,0.2702702702702703,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,9,task639_multi_woz_user_utterance_generation,25,0.10332276836037636,0.5756680955611665,0.00019999999999999998,13.46,jsd,0.5,True,default,0.0,0.21833333333333332,0.0,0.2683333333333333,0.022222222222222233,0.03333333333333334,10,0.33819295335407035,0.40227306466069124,0.3334972316036705,0.35070262831496085,0.0,0.21833333333333332,0.2683333333333333,0.23140495867768596,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,10,task1714_convai3_sentence_generation,25,0.18103448659181595,0.7043380633941428,0.00019999999999999998,14.28,jsd,0.5,True,default,0.0,0.16212121212121214,0.0,0.19848484848484851,0.06,0.07999999999999999,11,0.27960138790197403,0.3272774925974442,0.27513425573492944,0.301875970374961,0.0,0.16212121212121214,0.19848484848484851,0.17557251908396945,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,11,task1501_dstc3_answer_generation,25,0.04986255943775177,0.6741135257626838,0.00019999999999999998,3.12,jsd,0.5,True,default,0.9,0.2736111111111111,0.9,0.2902777777777778,0.1,0.1,12,0.3334217397331964,0.31612507510660043,0.3319290134398469,0.3406107912517716,0.0,0.2736111111111111,0.2902777777777778,0.2553191489361702,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,12,task1729_personachat_generate_next,25,0.12814608693122864,0.6166452019272535,0.00019999999999999998,16.92,jsd,0.5,True,default,0.0,0.30641025641025643,0.0,0.30641025641025643,0.041666666666666664,0.05833333333333333,13,0.37753688942146696,0.3881645621716073,0.37110870819239544,0.3829800815467264,0.0,0.30641025641025643,0.30641025641025643,0.271523178807947,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialog_seed789,baseline,opsd,13,task574_air_dialogue_sentence_generation,25,0.10739357471466064,0.664063661018795,0.00019999999999999998,14.72,jsd,0.5,True,default,0.0,0.1845238095238095,0.0,0.2130952380952381,0.14615384615384616,0.13076923076923078,14,0.30050275377269386,0.3367785488962934,0.29359592460863443,0.304757944615517,0.0,0.1845238095238095,0.2130952380952381,0.19254658385093168,0,0.0,0.0,0.0,0.0,default,default
