run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.mean_batch_acc,train.train.loss,train.train.answer_token_acc,train.num_total_tokens,train.num_supervised_tokens,train.grad_norm,train.lr,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
v0_sft_instrdialogpp,baseline,sequential_lora,0,task1549_wiqa_answer_generation_missing_step,25,0.44,0.27118898048996926,0.9,11474,300,3.876828411039489,0.00019999999999999998,default,0.5,0.5,0.5,0.5,0.0,0.0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8149802624737182,0.0,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,1,task766_craigslist_bargains_classification,25,0.86,0.25336939947796056,0.93,20511,100,6.388246137025611,0.00019999999999999998,default,0.8,0.4,0.8,0.75,0.5,0.0,2,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7649802624737182,0.0,0.4,0.75,0.75,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,2,task1714_convai3_sentence_generation,25,0.0,2.1897135639190672,0.5258660462246812,9318,534,8.058233220991605,0.00019999999999999998,default,0.0,0.19999999999999998,0.1,0.4000000000000001,0.35000000000000003,0.2,3,0.5277236190919056,0.5720930920930922,0.5255013968696833,0.5365631884455396,0.0,0.19999999999999998,0.4000000000000001,0.4,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,3,task611_mutual_multi_turn_dialogue,25,0.56,0.5757898396253586,0.77,15193,100,8.231841480065537,0.00019999999999999998,default,0.8,0.30000000000000004,0.8,0.45,0.3,0.19999999999999998,4,0.559551741344311,0.5867621267621269,0.559551741344311,0.6151668339593555,0.0,0.30000000000000004,0.45,0.45,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,4,task927_yelp_negative_to_positive_style_transfer,100,0.0,2.8229848098754884,0.432783191252978,22140,2172,5.528467250290761,0.0001999999999999999,default,0.0,0.13999999999999999,0.0,0.25999999999999995,0.3500000000000001,0.275,5,0.29618276694557977,0.30346385028370315,0.2918911002789132,0.3553371210383779,0.0,0.13999999999999999,0.25999999999999995,0.1625,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,5,task1500_dstc3_classification,25,0.88,0.22194553261157124,0.960952380952381,25414,156,7.297470583072007,0.00019999999999999998,default,0.7,0.25,0.7,0.3666666666666667,0.26000000000000006,0.18000000000000002,6,0.36074872996685414,0.36957388290721627,0.35814790692158677,0.415788140196511,0.0,0.25,0.3666666666666667,0.24444444444444444,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,6,task459_matres_static_classification,25,0.64,0.35234911322593687,0.8,9337,100,3.0637244547930136,0.00019999999999999998,default,0.8,0.4142857142857143,0.8,0.5142857142857142,0.16666666666666666,0.10000000000000002,7,0.4691205118478581,0.4797074037074037,0.46677977110711744,0.5069831450260155,0.0,0.4142857142857143,0.5142857142857142,0.36,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,7,task379_agnews_topic_classification,25,0.78,0.25707794272340834,0.905,10023,124,5.378707074854439,0.00019999999999999998,default,0.8,0.475,0.8,0.55,0.14285714285714285,0.1,8,0.5041650494226951,0.5108703670067306,0.502037103294749,0.5482953922675992,0.0,0.475,0.55,0.4,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,8,task1590_diplomacy_text_generation,25,0.0,3.23661150932312,0.3590092765109486,15497,1240,3.8692815626768122,0.00019999999999999998,default,0.0,0.41111111111111115,0.0,0.4888888888888888,0.1375,0.08750000000000002,9,0.4639636880318348,0.4684092378210025,0.4611487322443793,0.5027463813468509,0.0,0.41111111111111115,0.4888888888888888,0.36666666666666664,0,0.0,0.0,0.0,0.0,default,default
v0_sft_instrdialogpp,baseline,sequential_lora,9,task347_hybridqa_incorrect_answer_generation,25,0.1,1.7292295455932618,0.4966666666666667,21802,116,10.91388250391937,0.00019999999999999998,default,0.1,0.27,0.1,0.31,0.25555555555555554,0.23333333333333334,10,0.330932589034751,0.31800183225522605,0.3292739465866349,0.4430164481008313,0.0,0.27,0.31,0.23846153846153847,0,0.0,0.0,0.0,0.0,default,default
