run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.mean_batch_acc,train.train.loss,train.train.answer_token_acc,train.num_total_tokens,train.num_supervised_tokens,train.grad_norm,train.lr,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,0,task1549_wiqa_answer_generation_missing_step,25,0.44,0.2704436285048723,0.9,11474,300,3.8792800808894947,0.00019999999999999998,default,0.5,0.5,0.5,0.5,0.0,0.0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8149802624737182,0.0,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,1,task766_craigslist_bargains_classification,25,0.86,0.24677967830677516,0.93,20511,100,6.294208140013138,0.00019999999999999998,default,0.8,0.4,0.8,0.75,0.5,0.0,2,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7649802624737182,0.0,0.4,0.75,0.75,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,2,task1714_convai3_sentence_generation,25,0.0,2.1980816745758056,0.5175487942515895,9318,534,7.9161383051365775,0.00019999999999999998,default,0.0,0.16666666666666666,0.1,0.4000000000000001,0.4,0.2,3,0.5013277274018962,0.5429264254264256,0.499105505179674,0.5269758137560633,0.0,0.16666666666666666,0.4000000000000001,0.4,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,3,task611_mutual_multi_turn_dialogue,25,0.54,0.5410161331295967,0.76,15193,100,9.260945189501046,0.00019999999999999998,default,0.8,0.275,0.8,0.42500000000000004,0.3333333333333333,0.2333333333333333,4,0.530796683765724,0.5617621267621269,0.530796683765724,0.5991663333439525,0.0,0.275,0.42500000000000004,0.425,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,4,task927_yelp_negative_to_positive_style_transfer,100,0.0,2.816536102294922,0.4264090170040638,22140,2172,5.7393465837630036,0.0001999999999999999,default,0.0,0.12,0.0,0.24,0.375,0.30000000000000004,5,0.2788849320520642,0.28821380518990813,0.2755932653853975,0.34724287272835563,0.0,0.12,0.24,0.15,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,5,task1500_dstc3_classification,25,0.86,0.1639152687555179,0.9545238095238097,25414,156,9.99764493051098,0.00019999999999999998,default,0.8,0.2333333333333333,0.8,0.3499999999999999,0.3,0.22000000000000003,6,0.3346019168365528,0.3417374491884296,0.3316554147789397,0.40826043140106744,0.0,0.2333333333333333,0.3499999999999999,0.23333333333333334,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,6,task459_matres_static_classification,25,0.7,0.2864957653731108,0.84,9337,100,4.470811487183897,0.00019999999999999998,default,0.9,0.42857142857142855,0.9,0.5285714285714286,0.16666666666666666,0.09999999999999999,7,0.47101983744233705,0.4788012265512265,0.4694790967015963,0.5104074096193117,0.0,0.42857142857142855,0.5285714285714286,0.37,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,7,task379_agnews_topic_classification,25,0.74,0.3455933180265129,0.9016666666666667,10023,124,6.510267342498264,0.00019999999999999998,default,0.7,0.4625,0.7,0.5625,0.14285714285714285,0.07142857142857144,8,0.49737848870162044,0.5010011200920291,0.49597781530094703,0.5404907446213406,0.0,0.4625,0.5625,0.4090909090909091,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,8,task1590_diplomacy_text_generation,25,0.0,3.248213014602661,0.352384937977365,15497,1240,4.809055613111232,0.00019999999999999998,default,0.0,0.3888888888888889,0.0,0.4666666666666667,0.15000000000000002,0.1,9,0.44344492799903706,0.4468237273132784,0.43936746465180165,0.4864163624177661,0.0,0.3888888888888889,0.4666666666666667,0.35,0,0.0,0.0,0.0,0.0,default,default
20260817_215606_v0_sequential_instrdialogpp,baseline,sequential_lora,9,task347_hybridqa_incorrect_answer_generation,25,0.12,1.6589482069015502,0.5379999999999999,21802,116,12.373243858259048,0.00019999999999999998,default,0.1,0.28,0.1,0.33999999999999997,0.23333333333333334,0.18888888888888888,10,0.3456811897678792,0.3321270207921793,0.34425608855330436,0.4498148455695189,0.0,0.28,0.33999999999999997,0.26153846153846155,0,0.0,0.0,0.0,0.0,default,default
