run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.train.ce,train.train.pref,train.mu,train.pref_beta,train.n_neg_templates,train.grad_norm,train.lr,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,0,task1549_wiqa_answer_generation_missing_step,25,0.2947265625,0.27665771484375,0.0606884765625,0.3,1.0,3,4.606752069026837,0.00019999999999999998,default,0.5,0.5,0.5,0.5,0.0,0.0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8149802624737182,0.0,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,1,task766_craigslist_bargains_classification,25,0.2747216796875,0.2726785659790039,0.00787689208984375,0.3,1.0,3,8.684814682088401,0.00019999999999999998,default,0.8,0.4,0.8,0.7,0.5,0.0,2,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7649802624737182,0.0,0.4,0.7,0.7,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,2,task1714_convai3_sentence_generation,25,2.395625,2.292265625,0.344912109375,0.3,1.0,3,9.934763120909116,0.00019999999999999998,default,0.0,0.13333333333333333,0.1,0.3666666666666667,0.45,0.2,3,0.4779998302351244,0.5095930920930922,0.47577760801290214,0.51714537886799,0.0,0.13333333333333333,0.3666666666666667,0.36666666666666664,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,3,task611_mutual_multi_turn_dialogue,25,0.52988525390625,0.5257861328125,0.0120733642578125,0.3,1.0,3,8.785849011265364,0.00019999999999999998,default,0.8,0.30000000000000004,0.8,0.45,0.3,0.16666666666666666,4,0.549452614379085,0.5871093489843491,0.5480637254901961,0.6021963489353818,0.0,0.30000000000000004,0.45,0.45,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,4,task927_yelp_negative_to_positive_style_transfer,100,2.875966796875,2.82318359375,0.1768817138671875,0.3,1.0,3,6.388057213991487,0.0001999999999999999,default,0.0,0.12,0.0,0.24,0.375,0.275,5,0.2893843942871066,0.30006197438182736,0.28509272762043997,0.35037700865206045,0.0,0.12,0.24,0.15,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,5,task1500_dstc3_classification,25,0.2112274169921875,0.2031497049331665,0.026470947265625,0.3,1.0,3,8.1886172084765,0.00019999999999999998,default,0.7,0.21666666666666665,0.7,0.31666666666666665,0.30000000000000004,0.22000000000000003,6,0.3392066874464311,0.3471909154752291,0.33618756374756886,0.4066385803966974,0.0,0.21666666666666665,0.31666666666666665,0.2111111111111111,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,6,task459_matres_static_classification,25,0.3540625,0.350390625,0.0124713134765625,0.3,1.0,3,3.4461268278153163,0.00019999999999999998,default,0.5,0.3,0.5,0.38571428571428573,0.25000000000000006,0.18333333333333335,7,0.38285146154080735,0.3890880687939511,0.38051072080006665,0.45861022255347594,0.0,0.3,0.38571428571428573,0.27,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,7,task379_agnews_topic_classification,25,0.2301116943359375,0.2255077362060547,0.0151531982421875,0.3,1.0,3,4.669225009391195,0.00019999999999999998,default,0.6,0.375,0.6,0.4375,0.18571428571428572,0.14285714285714285,8,0.4312782554080539,0.4340494354130717,0.42927152140131986,0.5121561762518108,0.0,0.375,0.4375,0.3181818181818182,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,8,task1590_diplomacy_text_generation,25,3.310546875,3.18703125,0.41443359375,0.3,1.0,3,5.613345097632203,0.00019999999999999998,default,0.0,0.3,0.0,0.3333333333333333,0.2,0.1875,9,0.36518658165943296,0.3579677895418995,0.363902631042149,0.45234861959114053,0.0,0.3,0.3333333333333333,0.25,0,0.0,0.0,0.0,0.0,default,default
20260826_203109_v1_neg_opsd_instrdialogpp,baseline,neg_opsd,9,task347_hybridqa_incorrect_answer_generation,25,1.7612109375,1.74015625,0.0699151611328125,0.3,1.0,3,24.71085081285654,0.00019999999999999998,default,0.1,0.2,0.1,0.21000000000000002,0.2666666666666667,0.2777777777777778,10,0.24713974503048877,0.23190690679884535,0.24333649892333303,0.38691058785178534,0.0,0.2,0.21000000000000002,0.16153846153846155,0,0.0,0.0,0.0,0.0,default,default
